registrar_id,hostname,ip,timestamp,gmail_proxy
2120,rrcs-24-106-20-222.west.biz.rr.com.,24.106.20.222,2016-10-31 14:59:32.762,FALSE
2120,rrcs-24-106-20-222.west.biz.rr.com.,24.106.20.222,2016-10-31 14:59:32.762,FALSE
2120,rrcs-24-106-20-222.west.biz.rr.com.,24.106.20.222,2016-10-31 16:17:18.419,FALSE
2120,rrcs-24-106-20-222.west.biz.rr.com.,24.106.20.222,2016-10-31 16:17:37.255,FALSE
2120,rrcs-24-106-20-222.west.biz.rr.com.,24.106.20.222,2016-10-31 16:17:37.254,FALSE
2120,rrcs-24-106-20-222.west.biz.rr.com.,24.106.20.222,2016-10-31 16:18:45.551,FALSE
2120,rrcs-24-106-20-222.west.biz.rr.com.,24.106.20.222,2016-10-31 16:18:46.562,FALSE
3528,97-86-40-65.dhcp.stpt.wi.charter.com.,97.86.40.65,2016-10-31 16:17:58.496,FALSE
1717,,2600:1008:b14c:178d:44a6:9c1:5a93:dabf,2016-10-31 16:18:12.939,FALSE
1717,,66.102.6.76,2016-11-01 22:51:21.074,FALSE
6076,google-proxy-66-249-88-20.google.com.,66.249.88.20,2016-10-31 16:18:28.554,TRUE
6049,mail.erietownship.com.,24.247.155.10,2016-10-31 14:22:07.208,FALSE
6049,mail.erietownship.com.,24.247.155.10,2016-10-31 14:22:17.605,FALSE
6049,mail.erietownship.com.,24.247.155.10,2016-10-31 14:22:19.791,FALSE
6049,mail.erietownship.com.,24.247.155.10,2016-10-31 14:22:19.815,FALSE
6049,mail.erietownship.com.,24.247.155.10,2016-10-31 15:20:43.438,FALSE
6049,mail.erietownship.com.,24.247.155.10,2016-10-31 16:18:29.567,FALSE
632,165-234-248-136.state.nd.us.,165.234.248.136,2016-10-31 16:19:21.767,FALSE
632,165-234-248-136.state.nd.us.,165.234.248.136,2016-10-31 16:19:25.337,FALSE
632,165-234-248-136.state.nd.us.,165.234.248.136,2016-10-31 16:19:25.343,FALSE
6244,71-87-31-101.static.eucl.wi.charter.com.,71.87.31.101,2016-10-31 16:19:43.329,FALSE
5751,static-acs-24-239-40-28.zoominternet.net.,24.239.40.28,2016-10-31 16:19:48.019,FALSE
4097,97-88-247-182.static.mdsn.wi.charter.com.,97.88.247.182,2016-10-31 16:19:54.134,FALSE
4097,97-88-247-182.static.mdsn.wi.charter.com.,97.88.247.182,2016-10-31 16:19:54.141,FALSE
3428,,4.79.123.3,2016-10-31 13:26:55.021,FALSE
3428,,173.162.171.25,2016-10-31 16:20:09.138,FALSE
3428,,173.162.171.25,2016-10-31 16:20:09.143,FALSE
8487,66-186-108-76.clearwave.com.,66.186.108.76,2016-10-31 15:10:13.740,FALSE
8487,66-186-108-76.clearwave.com.,50.206.247.250,2016-10-31 16:20:11.883,FALSE
8487,66-186-108-76.clearwave.com.,50.206.247.250,2016-10-31 16:20:11.892,FALSE
8487,66-186-108-76.clearwave.com.,50.206.247.250,2016-10-31 16:41:11.729,FALSE
4345,24-213-32-86.static.mrqt.mi.charter.com.,24.213.32.86,2016-10-31 16:20:24.755,FALSE
4345,24-213-32-86.static.mrqt.mi.charter.com.,24.213.32.86,2016-10-31 16:20:24.747,FALSE
3049,,204.85.16.140,2016-10-31 16:20:20.463,FALSE
3049,,204.85.16.140,2016-10-31 16:20:21.124,FALSE
3049,,204.85.16.140,2016-10-31 16:20:29.932,FALSE
3049,,204.85.16.140,2016-10-31 16:20:30.312,FALSE
5445,google-proxy-66-249-80-4.google.com.,66.249.80.4,2016-10-31 16:20:52.470,TRUE
3205,,156.63.18.2,2016-10-31 16:21:00.584,FALSE
3205,,156.63.18.2,2016-10-31 16:21:01.614,FALSE
5322,207-118-188-25.dyn.centurytel.net.,207.118.188.25,2016-10-31 16:21:06.215,FALSE
8194,cpe-65-31-161-81.wi.res.rr.com.,65.31.161.81,2016-10-31 16:21:13.610,FALSE
8194,cpe-65-31-161-81.wi.res.rr.com.,65.31.161.81,2016-10-31 16:21:14.413,FALSE
8946,cpe-65-30-144-73.wi.res.rr.com.,65.30.144.73,2016-10-31 16:19:52.222,FALSE
